Region,Country,Fipscd,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Central & South America,Venezuela,VE,400,433,427,400,379,383.24,401.56,404.41,396.93,387.65,395.59,405,413.81,426.95,440.28,448.47,443.81,454.57,456.76,461.21,499.71,544.47,570.67,540.64,552.85,598,620.13,NA
Central & South America,Puerto Rico,RQ,200,219,158.8,152,167,144.58,155.52,161.79,147.46,143.07,140.16,175.61,155.58,162.16,165.37,169.07,174.87,179.25,183.54,189.14,201.35,213.86,212.05,217.81,222.76,230,235.73,214.99
Africa,Libya,LY,100,115,124,125,120,128.28,124.69,134.23,142.01,147,155,165.97,149.72,160.07,165.64,178.51,186.83,198.91,187.21,191.56,210.28,225.17,233.35,244.09,254.51,266,278.75,NA
Asia & Oceania,Burma,BM,23,23,24,23,24,22,17.28,16.39,16.66,16.65,15.24,15.66,16.44,16.53,18.92,18.36,19.75,25.35,29.95,36.48,36.75,33.65,34.52,35.97,40.29,42,43.14,NA
Middle East,Iraq,IZ,217,214,205,250,240,258.31,279.22,285.03,319.72,349.97,400,262.8,341.44,409.13,456.6,474.13,469.46,443.35,447.36,451.29,462.32,489.08,497.37,457.38,502.66,545,570.1,NA
Middle East,Middle East,r5,2044.49,2181.99,2334.39,2591.39,2648.33,2832.63,2952.81,3026.96,3130.43,3242.74,3469.43,3526.68,3756.47,3924.24,4098.57,4131.93,4215.1,4422.46,4538,4619.49,4780.75,4943.41,5107.25,5286.23,5539.41,5853,6165.52,NA
Eurasia,Ukraine,UP,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,812.71,569.59,495.31,484.38,392.99,372.45,365.88,288.51,260.14,304.46,308.03,322.46,325.34,328,364.05,NA
Central & South America,Guadeloupe,GP,3.47,4.93,6.2,6.5,7.1,6.5,6.69,7.46,8.14,9.1,9.78,10.23,9.56,10.99,11.37,11.67,11.55,11.76,11.76,11.76,12.43,12.66,12.88,13.39,13.72,14,14.34,NA
Central & South America,Saint Lucia,ST,0.8,0.63,0.76,0.7,0.7,0.88,0.88,0.98,1.2,1.2,1.2,1.2,1.24,1.22,1.39,1.41,1.4,1.47,1.47,1.47,2.33,2.44,2.49,2.74,2.68,2.7,2.78,NA
Europe,Denmark,DA,290,243,230,219,220,226,222,214,204,196,192,194,192,199,211,222.72,234.95,226.62,222.85,220.25,210,213.41,197.16,188.27,185.33,183.46,190.48,194.1
Central & South America,Colombia,CO,160.7,163.7,167.6,171.8,174,171.47,171.82,184.57,198.44,208.53,196.91,204.88,229.53,240.22,244.41,250.63,278.13,286.51,289.02,277.4,277.49,271.18,261.2,265.36,267.52,264,265.42,NA
Africa,Benin,BN,3,3,2,3,3,3.5,3.46,2.66,3.22,3.45,4.08,4.69,5.24,5.79,6.1,6.68,7.18,7.84,8.46,9.22,11.37,11.4,12.13,14.16,16.77,16,17.13,NA
Africa,Congo (Kinshasa),CG,19.1,20.4,21.4,21.3,19.5,18.9,20.54,18.53,23.34,21.95,20.42,21.52,24.27,25.37,19.97,20.55,21.32,20.92,19.79,16.93,14.16,9.53,8.09,8.13,11.32,11,10.46,NA
Europe,Slovenia,SI,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35.4,41.06,42.26,47.27,54.39,55.91,53.54,53.51,52.28,52.02,51.04,52,52.62,54,54.31,NA
Europe,Croatia,HR,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65.44,62.82,78.63,88.46,77.88,80.86,89.61,90.9,85.54,85.54,89.49,91.34,95.5,99,101.85,NA
Africa,Comoros,CN,0.3,0.3,0.3,0.3,0.3,0.26,0.26,0.41,0.43,0.43,0.56,0.54,0.54,0.54,0.56,0.56,0.56,0.56,0.58,0.58,0.64,0.67,0.69,0.69,0.71,0.7,0.71,NA 
Central & South America,Montserrat,MH,0.12,0.14,0.14,0.14,0.14,0.15,0.15,0.17,0.2,0.2,0.26,0.24,0.28,0.28,0.28,0.32,0.3,0.32,0.35,0.35,0.37,0.37,0.37,0.42,0.46,0.48,0.51,NA
Middle East,Iran,IR,590,580,660,785,765,790,830,865,870,964.99,1002.5,1074.86,1082.64,1107.87,1129.53,1140.18,1118.67,1221.69,1217.48,1205,1248.32,1285.32,1350.35,1425.65,1488.52,1572,1685.81,NA
Africa,Congo (Brazzaville),CF,5,6,5,4,4,5.75,5.81,6.5,5.82,6.5,7.11,6.22,5.79,5.43,5.27,5.19,5.02,5,5.05,4.18,4.4,5.59,4.83,6.04,6.71,7,7.68,NA
Eurasia,Armenia,AM,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44.44,24.72,17.9,24.62,28.01,30.72,31.94,32.7,35.21,37.09,38.64,39.91,41.24,40,41.09,NA
Central & South America,Nicaragua,NU,13,13.4,13.4,12.8,12.1,13.93,13.88,13.85,14.21,13.99,13.34,12.68,15.12,15.08,16.12,17.48,18.53,19.55,22.37,23.96,24.02,25.58,25.42,25.64,27.17,28,28.88,NA
Europe,Hungary,HU,244,236,223,222.6,200,206,195,199,182,183,178,164,164,161,162,155.45,145.14,148.87,155.52,149.09,143.25,138.16,140.39,135.22,138.22,157.12,165.65,166.8
Eurasia,Kyrgyzstan,KG,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32.54,19.44,8.76,11.68,12.33,10.27,13.91,11.61,10.57,9.25,10.09,9.57,12.23,12,12.33,NA
Europe,Montenegro,MJ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA
Europe,Luxembourg,LU,21,22,22,21,21,22,24,27,27,30,33,39,40,40,40,37.04,38.4,40.32,42.08,44.92,47.55,50.62,51.69,55.72,61.16,63.8,61.25,60.61
Africa,Cape Verde,CV,2.1,2.1,0.9,0.9,1.1,1.09,0.41,0.45,0.65,0.69,0.73,0.75,0.79,0.79,0.86,0.84,0.89,0.89,0.89,0.89,1.5,1.05,1.12,1.12,2.08,2,2.12,NA
Asia & Oceania,Brunei,BX,4.8,5,4,5,5.6,6.4,5.49,6.19,6.29,6.84,7.39,10.49,7.14,9.22,10.58,10.86,12.63,12.51,12.26,12,12.05,11.59,11.47,12.94,12.95,13,13.2,NA
Asia & Oceania,Bangladesh,BG,31.7,33,34.4,30,31,32.19,34.2,33.77,35.59,38.15,36,37.8,37.31,40.42,45.94,50.96,52.13,56.26,58.44,67.33,68.8,81.25,82.77,83.87,84.64,86,89.94,NA
Africa,Mozambique,MZ,13,11,13,13,12,13.19,6.62,6.81,9.84,8.03,7.03,6.93,6.85,6.8,6.47,7.12,7.04,7.3,7.63,7.9,7.81,9.37,10.65,11.19,13.32,13,14.39,NA
Europe,Poland,PL,387,346,318,325,314,317,331,340,340,345,283,272,279,293,303,318.61,362.43,390.11,403.9,428.42,411.26,404.69,406.48,431.06,458.54,473.05,505.56,513.13
Africa,Cameroon,CM,16,16,19,19,19,19.5,22.12,20.84,19.95,24.21,24.49,24.68,24.77,20.52,22.75,23.35,22.53,23.5,23.41,21.58,22.73,22.54,22.45,23.5,23.52,24.2,24.5,NA
Africa,Guinea-Bissau,PU,0.6,0.6,0.6,0.6,0.82,0.88,0.7,1.26,1.4,1.47,1.84,1.88,1.89,2.02,2.06,2.05,2.06,2.07,2.07,2.07,2.3,2.32,2.41,2.47,2.46,2.48,2.52,NA
Africa,Eritrea,ER,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6.52,7.19,7.32,7.35,7.9,6.53,4.16,4.93,4.59,5.18,4.87,5,5.19,NA
Eurasia,Latvia,LG,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52.22,40.75,40.18,41.58,46.65,34.95,35.14,30.75,28.86,29.75,28.23,29.82,32.63,34,35.18,NA
Africa,Niger,NG,4,4,4,3,3,3,2.5,2.4,4.17,4.24,4.4,4.44,4.56,4.65,4.78,4.76,4.77,4.78,4.78,4.78,4.98,5.07,5.3,5.4,5.41,5.45,5.55,NA
Africa,Egypt,EG,260,300,320,376,406,430,427.57,441.86,436.9,442.51,465.04,456.49,443.82,450.02,447.98,458.49,501.1,531.43,554.88,563.87,552.8,544.67,564.7,561.11,603.92,635,652.67,NA
Africa,Botswana,BC,3,3,2,2,2,3.63,3.6,4.26,4.72,5.71,6.43,7.22,8.4,8.23,8.23,8.23,8.23,9.27,9.49,9.49,13.97,11.53,11.08,11.08,13.49,12,11.64,NA
Central & South America,Netherlands Antilles,NT,109,100,95,89,85,70.7,69.2,69.62,64.82,68.67,67,63.52,62.73,63.06,65.91,69.47,69.29,73.73,73.66,71.18,70.96,71.86,70.51,65.76,66.39,68,67.45,NA
Africa,"Gambia, The",GA,1.1,1.1,1.1,1.1,1.2,1.19,1.11,1.28,1.32,1.3,1.33,1.39,1.38,1.47,1.63,1.52,1.51,1.52,1.6,1.6,1.79,1.92,1.97,1.99,2.01,2.03,2.08,NA
Central & South America,Central & South America,r2,3613.43,3557.17,3415.67,3232.33,3257.45,3225.69,3447.7,3557.95,3606.11,3618.54,3760.59,3829.58,3931.1,4069.43,4252.29,4458.15,4670.62,4890.55,5046.3,5135.18,5212.89,5325.2,5237.88,5195.68,5349.07,5464.85,5579.6,NA
Central & South America,Dominica,DO,0.19,0.25,0.25,0.25,0.25,0.29,0.29,0.31,0.4,0.43,0.43,0.43,0.43,0.45,0.52,0.58,0.58,0.58,0.6,0.6,0.59,0.75,0.82,0.88,0.77,0.8,0.85,NA
Central & South America,Chile,CI,107,104,102,96,95.7,95.5,96.63,102.77,110.8,125.79,133.89,144.37,150.57,167.56,178.87,196.99,217.36,228.18,239.24,244.26,235.9,232.49,233.96,235.77,244.63,250,252.99,NA
Europe,Netherlands,NL,792,731,642,613,590,610,675,691,723,715,734,758,769,764,764,767.32,761.12,792.82,801.62,828.09,854.52,893.65,898.32,918.64,947.87,1021.38,1010.9,988.99
Europe,France,FR,2256,2023,1880,1835,1771,1753,1764,1785,1801,1844,1826,1940,1932,1877,1865,1919.31,1948.9,1968.68,2040.07,2028.94,2000.51,2051.77,1982.83,1998.66,2006.27,1988.25,1961.18,1937.01
Eurasia,Russia,RS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4423.16,3750.46,3178.98,2976.13,2619.45,2562.48,2488.61,2537.62,2578.5,2590.23,2636.41,2681.86,2750.81,2757,2860.8,NA
Eurasia,Georgia,GG,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27.03,15.54,7.48,8,14.49,15.62,15.82,17.42,15.84,12.67,12.29,12.44,12.97,13.4,12.98,NA
Africa,Tanzania,TZ,13.4,15.7,15.2,13.4,14.9,14.9,18.05,15.93,17,16.48,18.1,14.97,16.48,17.12,15.45,15.01,15.06,15.25,15.38,16.1,16.17,18.95,21.73,23.21,24.8,25,27.27,NA
Europe,Ireland,EI,119,104,92,83,85,84,99,89,80,83,92,99,101,104,114,116.94,122.04,133.92,150.02,168.48,169.98,182.43,179.41,176.24,181.75,191.68,192.24,196.5
Eurasia,Azerbaijan,AJ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202.51,194.03,186.6,178.54,133.54,128.59,145.84,149.46,136.89,119.89,110.35,110.78,112.6,115,126.67,NA
Europe,"Germany, West",GE,2707,2449,2372,2324,2272.63,2337.98,2497.91,2423.97,2422.08,2280.08,2382.21,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
Central & South America,Belize,BH,1.6,1.5,1.4,1.4,1.5,1.53,1.91,1.58,1.13,1.58,2.22,2.47,2.12,2.11,2,2.29,1.94,3.19,3.21,3.26,4.71,6.26,6.01,6.29,6.75,7,7,NA
Europe,Iceland,IC,11,10,10,10,11,11,11,12,12,13,14,13,14,15,15,15.11,16.76,16.79,17.52,17.96,18.23,17.39,18.16,18.21,19,19.23,17.95,19.43
Middle East,Saudi Arabia,SA,610,670,720,790,850,939,973.99,975,990,950,1106.95,1158.93,1219.12,1260.21,1286.27,1254.54,1331.68,1383.6,1439.36,1479.22,1537.1,1606.3,1676.25,1774.59,1884.41,2000,2139.42,NA
Africa,Ghana,GH,16,14,16,14,16,13.71,15.9,18.12,21.3,23.66,20,20.13,22.44,23.43,25.81,26.66,27.18,26.02,26.79,31.36,36.96,36.27,38.65,41.54,45.3,47,49.3,NA
Central & South America,Barbados,BB,6.7,7,7.1,7.5,7.2,7.95,8.42,7.99,7.24,7.85,8.16,8.34,8.44,8.4,8.14,8.21,7.92,9.19,9.49,9.74,10.82,10.37,10.37,10.57,7.1,9,8.67,NA
Central & South America,Honduras,HO,12,10.8,11,11.7,11.8,11.11,11.7,11.81,13.17,16,17.77,17.47,18.14,18.18,20.38,22.97,25.46,25.29,29.01,30.63,28.11,33,36.34,36.54,41.85,43,46.83,NA
Europe,Europe,r3,16053.58,14800.6,14286.85,13922.53,13817.76,13786.93,14189.87,14329.57,14511.58,14553.12,14698.39,14798.55,14967.26,14926.72,15000.01,15334.68,15659.85,15821.52,16126.4,15991.58,15887.46,16077.34,16030.73,16161.89,16224.69,16372.16,16402.11,NA
Middle East,Qatar,QA,16.6,18,20.6,22,24,25,27.66,28.88,26.87,27.59,27.77,28.02,30.09,31.63,32.44,34.7,39.9,40.32,41.86,43.25,48.17,54.48,62.25,71.88,82.85,95,108.85,NA
Eurasia,Former U.S.S.R.,UR,8995,8935,9075,8950,8910,8950,8975.4,8994.97,8890.44,8740,8392,8350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
Middle East,Yemen,YM,44.8,45.7,53.5,49.5,61.9,69.24,66.58,66.34,67.82,73.6,75.96,78.48,83.24,69.43,66.2,72.4,73.81,78.96,85.33,89.24,96.62,102.45,112.31,121.49,123.28,128,135.44,NA
Central & South America,El Salvador,ES,14,12.2,11.7,13,13,13.72,14.94,14.61,16.19,15.76,16.48,19.16,22.05,22.32,25.27,31.11,30.37,32.16,37.79,38.31,38.06,39.41,39.01,42.36,41.93,43.2,44.33,NA
Africa,Namibia,WA,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15,6.9,7.03,8.67,8.37,8.37,8.83,9.37,10.07,11.86,12.63,15.05,15.42,16.64,17.58,18.4,19.84,NA
Asia & Oceania,Laos,LA,3,1.2,1.1,1.2,1.1,1.23,1.52,1.54,1.54,1.7,1.7,1.86,2.02,2.02,2.18,2.3,2.45,2.58,2.74,2.74,2.73,2.74,2.85,2.94,2.9,2.95,3,NA
Asia & Oceania,Macau,MC,3.22,3.1,3.27,4.61,5,4.1,5.67,6.31,6.28,6.73,6.79,6.83,7.03,7.78,8.29,8.11,9.42,9.68,10.45,11.05,10.12,10.73,11.73,12.26,15.03,15.26,16.57,NA
Africa,Saint Helena,SH,NA,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.16,0.09,0.09,0.09,0.06,0.07,0.06,NA
Central & South America,Argentina,AR,499,483,468,477,463,415.1,448.37,479.42,475,433.78,413,423.68,445.19,467.69,458.23,453.4,478.55,476.26,491.57,523.2,510.93,474.39,438.3,449.99,471.79,480,478.65,NA
Africa,Djibouti,DJ,10,8,8,6,5,5,4.5,4.6,4.5,10.43,10.55,10.67,10.7,10.87,11.01,10.97,10.97,11.13,11.13,11.13,11.21,11.38,11.4,11.65,11.84,12,12.17,NA
Africa,Morocco,MO,89,85,88,89,85,90,93.84,92.04,99.03,111.33,116.57,117.39,130.13,134.76,147.54,141.63,137.45,146.12,144.2,157.96,158.48,161.22,164.28,167.07,170.29,176,179.69,NA
Africa,Reunion,RE,4.3,4.3,4.7,5.4,6,5.91,5.83,6.39,7.51,7.96,8.63,9.91,10.38,13.14,13.37,13.26,13.27,13.37,17.01,17.01,17.72,18.53,18.49,18.5,18.82,19,19.27,NA
Europe,Serbia,RB,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA
Africa,Gabon,GB,11,12,11,14,12,10.84,9.83,10.4,11.75,15.62,15.32,15.51,16.09,15.08,15.25,14.1,15.04,16.09,15.29,13.19,12.14,12.53,11.94,12.58,12.72,13,13.17,NA
Africa,Cote d'Ivoire (IvoryCoast),IV,28,30,28,30,29,30,31.36,35.19,36.97,36.87,30.4,25,24.99,28.43,29.48,28.88,30.37,27.78,26.77,30.17,32.9,21.72,23.15,22.91,26.87,27,25.95,NA
Central & South America,Grenada,GJ,0.33,0.38,0.42,0.4,0.42,0.43,0.47,0.51,0.54,0.57,0.89,0.89,0.91,1,1.18,1.1,1.23,1.55,1.39,1.39,0.96,1.61,1.74,1.76,1.78,1.8,2.04,NA
Central & South America,"Bahamas, The",BF,27.6,29.1,24.9,18.5,16.8,15.3,15.19,16.76,15.95,18.1,19.14,17.17,14.63,15.54,16.94,19.61,22.05,21.99,24.56,22.29,22.22,21.84,22.26,26.6,26.96,26,26.83,NA
Africa,Lesotho,LT,1,1,1,1,1,1.08,1.08,1.08,0.75,1.08,1.08,1.08,1.1,1.1,1.19,1.19,1.19,1.19,1.2,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,NA
Africa,Malawi,MI,3,3.5,2.9,2.4,2.3,2.69,2.54,2.62,2.63,3.37,3.52,4.51,4.5,4.27,4.68,4.9,4.98,4.99,5.03,5.03,5.26,5.35,5.41,5.43,6.26,6,6.16,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central & South America,"Virgin Islands, British",VI,0.16,0.25,0.25,0.25,0.23,0.24,0.26,0.3,0.32,0.34,0.34,0.34,0.36,0.37,0.37,0.37,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.48,0.6,0.6,0.65,NA
Central & South America,Costa Rica,CS,16,16,15,16,13.84,14.73,13.44,15.74,18.05,19.56,18.75,19.94,24.85,27.03,28.06,31.27,30.08,31.01,34.97,35.75,36.28,37.59,39.66,41.92,41.56,43,45.6,NA
Africa,Sudan,SU,22.4,23,25,24,22,24.7,27.94,27.19,29.59,28.03,25.43,36.15,33.3,31.74,27.67,26.5,26.34,27.16,27.36,29.53,43.11,55.99,58.3,65.42,71.21,72,79.76,NA
Asia & Oceania,East Timor,TT,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA
Africa,Western Sahara,WI,1.1,1.1,1.23,1.19,1.23,1.26,1.26,1.3,1.32,1.32,1.38,1.38,1.39,1.35,1.35,1.46,1.45,1.46,1.46,1.46,1.68,1.7,1.7,1.7,1.7,1.75,1.76,NA
Africa,Ethiopia,ET,12,12,13,15,15,18,17.09,19.44,18.69,19.77,19.73,16.43,23.49,21.89,13.98,15.45,11.56,11.59,17.14,21.25,22.73,23.31,25.64,27.55,28.59,29,30.45,NA
Central & South America,Aruba,AA,- -,- -,- -,- -,- -,- -,0.68,0.68,2.51,3.42,3.55,3.98,4.3,4.49,4.97,5.69,3.77,6.01,6.08,6.08,6.51,6.53,6.53,6.98,7.06,7,7.1,NA
Europe,Belgium,BE,522,481,445,406.74,385,405,454,457,470,462,463,497,509,500,510,498.46,564.32,588.59,601.7,569,587.35,596.05,600.59,627.32,604.87,598.78,591.25,588.4
Europe,Austria,AU,232,225,209,206.75,202,198,206,209,205,205,215,232,227,232,231,230.44,251.14,250.32,262.79,250.06,246.16,262.68,270.98,288.82,286.79,294.84,301.58,291.46
Middle East,United Arab Emirates,TC,75,137,148,149,153,185,207,211,237.17,242.4,243.1,302.03,305.16,309.67,317.77,315.86,305.57,317.26,322.48,323.86,330.48,324.65,334.63,333.01,351.14,372,381,NA
Eurasia,Estonia,EN,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24.95,26.82,25.23,25.53,25,26.99,27.71,24.31,22.93,23.54,23.52,24.36,27.74,29,30.44,NA
Africa,Mauritius,MP,6,5.4,5.2,5.7,5.7,5.8,7.17,6.2,9.15,10.35,11.91,12.11,14.44,14.51,14.65,15.62,15.95,16.2,16.35,16.35,19.88,21.75,19.79,20.55,21.38,22,22.45,NA
Central & South America,Peru,PE,133.3,137.1,136.3,124.4,127.2,125,135.16,138.4,141.41,121.12,121.17,112.83,119.24,125.97,132.34,143,153.39,156.55,158.64,160.52,156.79,153.87,152.34,154.22,161.96,166,167.86,NA
Asia & Oceania,Hawaiian Trade Zone,HQ,45,52,48,45,54,52.05,30.84,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
Africa,Zambia,ZA,15.6,14.2,13.8,13.8,12.7,11.9,11.89,12.6,13.67,13.38,13.45,11.43,13,10.85,10.71,10.91,11.09,11.17,11.75,11.16,10.74,11.76,12.19,12.74,13.27,14,14.76,NA
Asia & Oceania,Australia,AS,594,584,616,594,635,639,644,661,694,722,737,719,728,760,787,810,830.79,847.31,852.23,874.63,872.22,874.34,884.69,890.16,901.91,918.59,920.19,936.68
Asia & Oceania,Cambodia,CB,0.3,0.3,0.3,2.47,2.75,2.8,2.3,2.93,3.03,3.03,3.03,3.12,3.19,3.2,3.28,3.36,3.36,3.45,3.45,3.45,3.52,3.58,3.6,3.68,3.59,3.7,3.74,NA
Asia & Oceania,Fiji,FJ,9,6,7,7,5,5.2,5.3,5.62,5.76,6.95,7.42,6.76,5.56,5.6,5.5,5.74,5.83,5.79,5.69,5.69,5.39,5.41,8.22,10.26,8.6,9,9.97,NA
Asia & Oceania,Maldives,MV,0.1,0.1,0.1,0.1,0.39,0.43,0.54,0.54,0.58,0.59,0.65,0.65,0.67,0.81,1.7,2.37,2.32,2.04,2.21,2.21,3.14,3.37,6.19,6.96,4.87,5,5.49,NA
Asia & Oceania,Malaysia,MY,160,165,180,192,194,194,192.27,197.3,202.5,220.07,265.98,281.53,301.52,335.95,377.51,399.16,435.26,469.34,449.23,454.32,465.02,475.1,462.75,479.86,508.04,501,501.07,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia & Oceania,"Korea, South",KS,537,536,534,561,554,552,592,627,746,860,1048,1263,1527,1684,1840,2007.74,2100.95,2254.97,1916.56,2083.79,2135.29,2132.04,2149.15,2175.42,2155.12,2191.34,2173.79,2206.7
Asia & Oceania,China,CH,1765,1705,1660,1730,1740,1885,2000,2120.04,2275,2379.52,2296.4,2498.8,2661.6,2959.49,3160.61,3363.16,3610.09,3916.27,4105.83,4363.6,4795.71,4917.88,5160.71,5578.11,6437.48,6720,7273.29,NA
Asia & Oceania,French Polynesia,FP,1.52,2.25,3,4,6,5.23,6.57,6.64,6.59,6.56,6.26,6.15,5.97,5.87,4.71,4.87,4.85,4.87,4.87,4.87,4.58,4.59,4.82,5.73,5.68,5.8,6.08,NA
Asia & Oceania,Indonesia,ID,408,455,479,470,470,465,469.95,493.35,523.85,583,651.06,694.62,706.92,764.9,777.52,807.31,858.5,942.27,905.6,963.73,1036.7,1077,1125.65,1142.67,1232.57,1270,1218.59,NA
Africa,Africa,r6,1474.13,1577.25,1659.98,1698.24,1757.83,1826.45,1819.71,1839.15,1907.73,1981.14,2070.71,2117.79,2156.62,2176.65,2183.48,2251.59,2308.42,2375.22,2406.39,2450.5,2499.44,2597.91,2667.73,2715.09,2819.46,2912.33,3027.91,NA
Asia & Oceania,Cook Islands,CW,0.2,0.4,0.4,0.4,0.4,0.4,0.37,0.37,0.37,0.32,0.32,0.27,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.39,0.39,0.39,0.39,0.43,0.45,0.46,NA
Asia & Oceania,Mongolia,MG,12,12,14,14,15,16.45,16.55,16.83,17.28,16.72,15.8,14.69,13.28,12.82,13.1,11.48,11.86,7.99,8.49,8.66,8.5,9.86,10.67,10.35,12.28,12,12.86,NA
Asia & Oceania,Bhutan,BT,0.02,0.17,0.21,0.19,0.18,0.23,0.23,0.27,0.27,0.27,0.63,0.63,0.64,0.65,0.74,0.86,0.93,0.91,0.96,0.96,0.98,1.05,1.09,1.13,1.14,1.2,1.25,NA
Asia & Oceania,India,IN,643,729,737,773,824,894.9,947.44,987.85,1083.78,1149.78,1168.33,1190.32,1274.91,1311.07,1413.27,1574.67,1680.92,1765.49,1844.37,2031.25,2127.44,2183.73,2263.44,2346.33,2429.62,2438,2586.89,NA
Asia & Oceania,Japan,JA,4960,4848,4582,4395.02,4666,4436,4503,4567,4849,5058,5303,5375,5467,5398,5648,5693.61,5739.51,5697.16,5498.22,5614.54,5495.36,5394.42,5301.31,5415.94,5290.6,5305.07,5159.45,4972.14
Asia & Oceania,Guam,GQ,25,35,27,26,9,4.56,7.82,5.32,5.54,5.44,12.55,14.25,17.06,22.69,32.07,24.31,21.61,24.7,20.16,22.33,18.58,20.21,13.66,15.4,12.13,13.53,14.01,12.78
Asia & Oceania,Afghanistan,AF,7,8,7.8,10.6,10.7,12.9,13.6,13.95,13.19,13.43,13.71,12.77,7.21,6.97,6.67,6.36,6,5.62,5.33,5.33,4.72,4.69,4.79,3.81,4.12,5,5.04,NA
