time,Baseline,Direct Mail,Newspaper,Online,Radio,TV
"Jul 24, 2005",22887341,5269884,17380918,1701315,5663129,4737060
"Jul 31, 2005",27667322,13372,5425708,1564386,3928825,1509575
"Aug 7, 2005",33386482,2838605,7525718,1619672,1738534,656358
"Aug 14, 2005",35671381,1286524,10744111,1516116,2607299,390239
"Aug 21, 2005",29382715,5123760,14397056,1763838,5045941,4865193
"Aug 28, 2005",14833018,5772061,12203921,1917433,4342556,2494656
"Sep 4, 2005",39220552,19178,2436235,1699226,575767,1121043
"Sep 11, 2005",32242390,4494061,5954513,2434794,287534,3362681
"Sep 18, 2005",33873248,5284007,11865906,2530577,5451352,6453671
"Sep 25, 2005",33873248,5284007,11865906,2530577,5451352,6453671
"Oct 2, 2005",28589657,795507,11641496,2046441,2844340,4054642
"Oct 9, 2005",44424335,5697391,10220264,3083313,2037210,3753509
"Oct 16, 2005",50688003,750405,18767914,6410883,2787997,8117673
"Oct 23, 2005",24895567,5015074,10124800,2932498,5681881,2527288
"Oct 30, 2005",34621640,1808752,10802395,2897548,3299788,4100223
"Nov 6, 2005",28345334,6354963,15376405,2433192,3936152,2689749
"Nov 13, 2005",29961022,5972037,14299818,1945720,2024110,2413534
"Nov 20, 2005",51191886,2166314,14416074,2442840,10671663,6962850
"Nov 27, 2005",44150135,2029593,2414378,1937837,2095976,2212644
"Dec 4, 2005",39953448,3276461,2355516,1938413,4054921,1060904
"Dec 11, 2005",42747144,268787,10353708,4162927,1328571,2830435
"Dec 18, 2005",36032486,89135,7243804,2706524,4398418,4405293
"Dec 25, 2005",30500684,5684172,3038932,2013465,439842,1339876
"Jan 1, 2006",39482951,1513307,1742083,1810359,43984,496627
"Jan 8, 2006",36454623,464,5294363,1903329,657238,225047
"Jan 15, 2006",36857779,476177,6513310,1905696,3568352,188968
"Jan 22, 2006",39825142,4743204,5946112,2121482,3904972,1702873
"Jan 29, 2006",36490740,1954923,4170501,1978495,528213,506468
"Feb 5, 2006",29689171,4925477,8317388,1919184,3383894,2829697
"Feb 12, 2006",33873248,5284007,11865906,2530577,5451352,6453671
"Feb 19, 2006",28589657,795507,11641496,2046441,2844340,4054642
"Feb 26, 2006",44424335,5697391,10220264,3083313,2037210,3753509
"Mar 5, 2006",50688003,750405,18767914,6410883,2787997,8117673
"Mar 12, 2006",24895567,5015074,10124800,2932498,5681881,2527288
"Mar 19, 2006",34621640,1808752,10802395,2897548,3299788,4100223
"Mar 26, 2006",28345334,6354963,15376405,2433192,3936152,2689749
"Apr 2, 2006",29961022,5972037,14299818,1945720,2024110,2413534
"Apr 9, 2006",51191886,2166314,14416074,2442840,10671663,6962850
"Apr 16, 2006",32719895,5284007,5284007,11865906,2530577,1458688
"Apr 23, 2006",37113879,795507,795507,11641496,2046441,1282507
"Apr 30, 2006",47800271,5697391,5697391,10220264,3083313,2179971
"May 7, 2006",51529909,750405,750405,18767914,6410883,5742439
"May 14, 2006",40625464,5015074,5015074,10124800,2932498,3632762
"May 21, 2006",34430344,1808752,1808752,10802395,2897548,2788639
"May 28, 2006",46931835,6354963,6354963,15376405,2433192,2503196
"Jun 4, 2006",34013268,5972037,5972037,14299818,1945720,546046
"Jun 11, 2006",53609206,2166314,2166314,14416074,2442840,4523129
"Jun 18, 2006",29689171,4925477,8317388,1919184,3383894,1497420
"Jun 25, 2006",33873248,5284007,11865906,2530577,5451352,1442392
"Jul 2, 2006",28589657,795507,11641496,2046441,2844340,1352609
"Jul 9, 2006",44424335,5697391,10220264,3083313,2037210,1574913
"Jul 16, 2006",50688003,750405,18767914,6410883,2787997,301858
"Jul 23, 2006",24895567,5015074,10124800,2932498,5681881,54143
"Jul 30, 2006",34621640,1808752,10802395,2897548,3299788,699390
"Aug 6, 2006",28345334,6354963,15376405,2433192,3936152,3337665
"Aug 13, 2006",29961022,5972037,14299818,1945720,2024110,1177622
"Aug 20, 2006",36253053,909003,5208847,5294363,3602471,220274
"Aug 27, 2006",39787352,2623606,8066906,6513310,2733561,1722152
"Sep 3, 2006",43898061,693972,9845032,5946112,1976653,1226875
"Sep 10, 2006",39599955,3593838,10954318,4170501,727989,4590840
"Sep 17, 2006",34342525,2438405,8733176,8317388,1286167,3402446
"Sep 24, 2006",37313187,4735345,5812976,11865906,1114072,1958060
"Oct 1, 2006",33135344,9639648,8261663,11641496,1546917,2906857
"Oct 8, 2006",45261241,3434875,11448424,10220264,2041579,4464287
"Oct 15, 2006",35238432,3258359,7081859,18767914,1481630,3368767
"Oct 22, 2006",42438867,1328770,5477951,10124800,2627615,929498
"Oct 29, 2006",43372898,4854613,8376927,10802395,1499085,584359
"Nov 5, 2006",38380451,2980602,13625981,15376405,1193750,4350792
"Nov 12, 2006",60571672,2996455,9933462,14299818,3242236,6347315
"Nov 19, 2006",56399262,6475140,20859295,14416074,1989172,8996993
"Nov 26, 2006",79142915,5592493,11403449,5284007,375634,8377895
"Dec 3, 2006",113169320,2535955,10762858,795507,2419773,8391910
"Dec 10, 2006",116256025,2115247,11368917,5697391,2782809,8177451
"Dec 17, 2006",186874387,1574972,15095453,750405,3908673,9874808
"Dec 24, 2006",74178218,2415548,12144620,5015074,2816576,9557289
"Dec 31, 2006",27704060,2169649,4858756,1808752,7610747,12433483
"Jan 7, 2007",19549683,3232506,3097180,6354963,4073867,5460220
"Jan 14, 2007",30826772,1024401,3526658,5972037,1511651,2100666
"Jan 21, 2007",35078141,48675,4580545,2166314,151165,832118
"Jan 28, 2007",27275093,13650,4912540,8317388,5352495,436547
"Feb 4, 2007",27288569,9027600,14966834,11865906,4102906,3587937
"Feb 11, 2007",28735332,5572684,14118437,11641496,2110895,5840333
"Feb 18, 2007",37168000,2349340,12477774,10220264,4883082,6675395
"Feb 25, 2007",27161214,767794,4092794,18767914,4093653,1998794
"Mar 4, 2007",33509211,3405994,6709226,10124800,736738,956036
"Mar 11, 2007",30269662,5033066,5161915,10802395,3725576,771381
"Mar 18, 2007",36503137,3459315,7677195,15376405,2255847,458635
"Mar 25, 2007",30856530,3361357,8626190,14299818,4555090,404442
"Apr 1, 2007",39094554,6642899,10898753,5208847,5185424,2585448
"Apr 8, 2007",20973684,7267721,10738001,8066906,1498763,3371440
"Apr 15, 2007",32799779,3275380,9896897,9845032,6722416,6281720
"Apr 22, 2007",28829318,5574452,6753488,10954318,3827878,2088799
"Apr 29, 2007",51301648,4908867,9256689,8733176,1406411,3325451
"May 6, 2007",48967179,6516719,11445556,5812976,4776456,9109038
"May 13, 2007",35376989,5608441,6940912,8261663,1784037,3034418
"May 20, 2007",33019809,7841863,10231254,11448424,3487703,3393202
"May 27, 2007",44404430,836568,9024057,7081859,5259754,1627998
"Jun 3, 2007",29087892,13197205,11017463,5477951,2371499,884756
"Jun 10, 2007",55014181,6087175,10527941,8376927,5719406,9928743
"Jun 17, 2007",37302428,2820127,3934923,13625981,1381191,8646393
"Jun 24, 2007",36064831,3501849,3710807,9933462,1695895,6169315
"Jul 1, 2007",35343592,690340,12889427,20859295,614668,5317996
"Jul 8, 2007",39151722,2872858,4225227,11403449,2973288,4081131
"Jul 15, 2007",31659559,3381966,4155898,10762858,769240,1443599
"Jul 22, 2007",32138158,5968406,4196810,11368917,254833,636936
"Jul 29, 2007",37530313,2243695,1396615,15095453,1548963,332176
"Aug 5, 2007",39908361,2588593,5803351,12144620,3447978,161966
